nbjours,Date,Historique de production / factures RE,bilan mensuel,Facteur de charge (par rapport à la puissance en ML),Total puissance,Total ML,Total OA,Production
31,01-01-2016,248 256,totale,45.7,730,730,0,258600
28,01-02-2016,389 952,totale,79.5,730,730,0,406200
31,01-03-2016,154 080,totale,28.4,730,730,0,160500
30,01-04-2016,33 120,totale,6.3,730,730,0,34500
31,01-05-2016,478 848,totale,88.2,730,730,0,498800
30,01-06-2016,492 384,totale,93.7,730,730,0,512900
31,01-07-2016,482 208,totale,88.8,730,730,0,502300
31,01-08-2016,344 352,totale,63.4,730,730,0,358700
30,01-09-2016,233 376,totale,44.4,730,730,0,243100
31,01-10-2016,99 744,totale,18.4,730,730,0,103900
30,01-11-2016,235 584,totale,44.8,730,730,0,245400
31,01-12-2016,145 824,totale,26.8,730,730,0,151900
31,01-01-2017,231 360,totale,42.6,730,730,0,241000
28,01-02-2017,139 104,totale,28.4,730,730,0,144900
31,01-03-2017,239 232,totale,44.0,730,730,0,249200
30,01-04-2017,199 008,totale,37.9,730,730,0,207300
31,01-05-2017,433 344,totale,79.8,730,730,0,451400
30,01-06-2017,457 152,totale,87.0,730,730,0,476200
31,01-07-2017,348 288,totale,64.1,730,730,0,362800
31,01-08-2017,237 120,totale,43.7,730,730,0,247000
30,01-09-2017,221 184,totale,42.1,730,730,0,230400
31,01-10-2017,114 336,totale,21.1,730,730,0,119100
30,01-11-2017,251 808,totale,47.9,730,730,0,262300
31,01-12-2017,236 736,totale,43.6,730,730,0,246600
31,01-01-2018,391 872,totale,72.2,730,730,0,408200
28,01-02-2018,317 760,totale,64.8,730,730,0,331000
31,01-03-2018,205 344,totale,37.8,730,730,0,213900
